n,xm,ym,zm,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
0,0.000000,-0.500000,1.000000,-0.801752,0.689903,-0.765776,0.704553,-0.571162,0.643181,-0.737361,0.708865,-0.754089,0.505311
1,0.500000,-0.500000,1.000000,-0.711054,0.697732,-0.674023,0.711776,-0.499413,0.654573,-0.636562,0.710683,-0.667865,0.525789
2,0.500000,0.000000,1.000000,-0.713105,0.827740,-0.668561,0.827958,-0.502040,0.771372,-0.638164,0.843055,-0.682365,0.636963
3,0.000000,0.000000,1.000000,-0.804415,0.817869,-0.759362,0.820594,-0.574067,0.758157,-0.738656,0.841300,-0.768583,0.616570
4,0.888889,-0.500000,1.000000,-0.636624,0.704911,-0.600555,0.717517,-0.436971,0.664087,-0.557103,0.712633,-0.599080,0.541411
5,1.388890,-0.500000,1.000000,-0.542343,0.712180,-0.506415,0.723628,-0.359803,0.675261,-0.457282,0.713756,-0.512671,0.561808
6,1.388890,0.000000,1.000000,-0.544964,0.843995,-0.502402,0.841719,-0.363354,0.795903,-0.458673,0.845311,-0.528256,0.672161
7,0.888889,0.000000,1.000000,-0.639181,0.834542,-0.595425,0.833327,-0.440047,0.782233,-0.558579,0.844019,-0.613673,0.652547
8,1.777780,-0.500000,1.000000,-0.466148,0.718585,-0.431741,0.729115,-0.294528,0.684846,-0.378620,0.715048,-0.444880,0.577048
9,2.277780,-0.500000,1.000000,-0.369223,0.726529,-0.335309,0.735597,-0.212724,0.696582,-0.279743,0.715261,-0.359711,0.596357
10,2.277780,0.000000,1.000000,-0.371647,0.859078,-0.332903,0.853103,-0.215733,0.820593,-0.281245,0.845060,-0.375279,0.705340
11,1.777780,0.000000,1.000000,-0.468845,0.850175,-0.427767,0.846783,-0.298036,0.806437,-0.380129,0.845509,-0.460116,0.686623
12,2.666670,-0.500000,1.000000,-0.291036,0.732775,-0.258997,0.740074,-0.143551,0.706284,-0.202217,0.715684,-0.292240,0.611023
13,3.166670,-0.500000,1.000000,-0.191008,0.738426,-0.160755,0.745219,-0.056732,0.717801,-0.104466,0.715910,-0.208040,0.629402
